VALUE,YEAR,AREA,FLOORS ,ROOMS,REMODEL
Low,1880,3,2,6,0
High,1945,4,2,10,2
Low,1890,3,2,8,0
High,1957,6,1,9,0
Low,1910,3,2,7,0
Low,1950,3,1,6,1
Low,1954,4,2,7,0
Low,1950,3,1,6,0
Low,1958,3,1,5,2
High,1900,5,2,8,0
Low,1960,3,1.5,6,0
Low,1958,3,1.5,6,0
Low,1889,3,2,6,0
High,2004,5,2,9,0
Low,1954,3,1.5,6,0
Low,1940,3,1,7,0
Low,1880,3,1.5,7,1
Low,1950,3,1,7,0
Low,1910,3,2,7,0
Low,1875,3,2,7,0
Low,1920,2,2,7,0
Low,1889,3,1.5,6,2
Low,1944,3,1.5,6,0
High,1892,4,1.5,6,0
Low,1900,3,2,7,0
Low,1910,3,2,7,0
Low,1880,2,1.5,5,0
Low,1910,3,1.5,7,0
Low,1896,2,1.5,6,0
Low,1910,2,1.5,6,0
Low,1906,3,1.5,6,0
Low,1910,3,2,7,0
Low,1890,4,2,7,0
Low,1925,3,2,7,0
Low,1920,4,2,9,0
Low,1910,3,2,6,0
Low,1945,3,1.5,6,0
Low,1960,3,1,6,0
Low,1963,3,1,5,0
Low,1915,4,1,7,0
High,1990,3,2,7,1
Low,1910,3,2,7,0
Low,1940,4,2,9,0
Low,1910,3,2,7,0
Low,1900,3,1.5,6,1
High,1995,5,2,6,2
Low,1996,3,2,7,0
Low,1910,3,2,7,0
Low,1950,3,1.5,6,0
High,1996,3,2,7,0
Low,1907,4,2,7,0
Low,1900,3,2,7,0
High,1996,3,2,7,0
Low,1960,3,2,7,0
Low,1945,4,1,5,0
Low,1900,3,2,7,0
Low,1910,3,2,7,0
Low,1940,3,1,5,0
Low,1860,3,1.5,6,0
Low,1950,3,1,6,1
Low,1967,3,1,8,0
Low,1991,2,2,6,0
Low,1991,2,2,6,0
Low,1991,2,2,6,0
Low,1991,2,2,6,0
High,2007,5,2,8,0
Low,1910,4,1.5,7,0
Low,1875,3,2,7,0
Low,1910,4,2,8,2
Low,1940,3,1.5,6,0
Low,1940,3,2,7,2
Low,1964,3,1,7,0
Low,1900,2,1.5,6,0
Low,1942,4,2,8,1
Low,1900,4,2,8,0
Low,1987,3,2,7,0
High,1997,3,2,6,0
High,1940,4,1.5,8,2
Low,1940,4,1,5,0
Low,1940,3,1.5,6,0
Low,1948,3,1.5,7,0
Low,1940,3,2,7,0
Low,1930,3,1.5,6,0
Low,1940,3,1.5,6,2
Low,1928,3,2,6,1
Low,1940,3,1.5,6,2
High,1999,3,2,7,0
Low,1946,3,1.5,6,0
Low,1940,2,1,4,0
Low,1940,3,1.5,7,2
Low,1996,3,2,6,0
Low,1955,3,1.5,7,0
Low,1940,3,1.5,6,0
Low,1968,4,1,9,0
Low,1945,3,1.5,6,1
Low,1950,3,2,6,2
High,1999,3,2,7,0
Low,1940,3,1.5,6,2
Low,1934,3,1,6,2
Low,1960,3,2,10,0
Low,1940,3,1.5,6,0
Low,1925,4,1,6,2
Low,1955,3,2,8,0
High,1999,5,2,8,0
Low,1955,3,2,7,1
Low,1983,5,1,5,0
High,2001,5,2,9,0
Low,1940,3,1.5,6,0
Low,1930,3,2,8,2
Low,1962,3,1.5,4,0
Low,1910,4,2,7,0
Low,1910,4,2,7,0
High,2001,5,2,9,0
Low,1920,4,2,7,0
Low,1956,1,1,5,0
Low,1955,3,1.5,5,0
High,1959,4,1,6,2
Low,1960,2,1,7,0
High,1967,5,1,12,0
Low,1930,3,2,6,0
High,2001,6,2,10,0
Low,1940,3,1,6,2
Low,1945,2,1.5,6,1
Low,1962,3,2,7,0
Low,1969,3,1,10,0
High,1999,4,2,6,0
Low,1945,3,1,6,0
Low,1955,3,1.5,7,1
Low,1960,3,1,6,0
Low,1989,3,2,6,0
Low,1955,3,1,6,0
Low,1965,2,1,8,2
Low,1950,3,1,6,0
Low,1960,3,1.5,6,0
High,1999,5,2,9,0
Low,1969,3,2,6,0
Low,1958,3,1.5,6,0
Low,1950,5,1,9,0
Low,1965,3,1,7,0
Low,1974,3,1,8,1
Low,1945,3,1,6,0
Low,1950,2,1,5,0
Low,1965,3,1,8,0
High,1960,4,1.5,6,2
High,2004,4,2,7,0
Low,1910,3,2,7,0
Low,1972,3,2,10,2
Low,1974,4,1,7,1
Low,1955,3,1,6,0
Low,1971,3,1,8,0
Low,1970,3,2,8,0
Low,1900,4,2,7,2
Low,1978,3,2,7,0
Low,1965,3,1,8,0
Low,1965,3,1,8,1
Low,1950,2,1,5,0
Low,1925,3,1,6,0
Low,1950,3,2,7,2
Low,1920,3,2,6,0
Low,1950,2,1,5,0
Low,1984,3,1.5,8,0
Low,1955,3,1.5,7,0
Low,1910,3,1.5,6,2
Low,1971,3,1,7,0
High,2003,4,2,9,0
Low,1950,3,1,6,0
Low,1955,3,1.5,6,0
Low,1978,3,2,7,0
Low,1920,3,2,7,0
Low,1965,3,1,9,0
Low,1956,3,1,5,0
Low,1911,2,2,6,1
Low,1964,3,1,6,0
Low,1960,3,1,5,0
Low,1955,2,1,6,0
Low,1980,3,2,7,0
Low,1989,3,2,7,0
Low,1920,3,2,7,0
High,2005,5,2,11,0
Low,1986,3,1,9,0
Low,1956,3,1,8,0
Low,1920,4,2,7,1
Low,1960,3,1,6,0
Low,1989,3,2,6,0
Low,1960,3,2,6,1
Low,1978,3,2,7,1
Low,1965,3,2,7,1
Low,2002,3,2,7,0
Low,1950,3,1,6,0
Low,1955,3,1.5,7,0
Low,1960,3,1,5,0
High,1993,3,2,6,0
Low,1978,3,2,7,0
Low,1965,3,2,7,0
Low,1925,4,1,5,0
Low,1960,3,1,5,0
Low,1914,3,2,7,0
Low,1962,3,1,8,0
Low,1956,3,1,6,0
Low,1926,3,2,8,0
Low,1965,3,2,7,1
Low,1920,2,1,5,0
Low,1999,3,2,6,0
Low,1916,2,1.5,7,0
Low,1960,3,1,5,0
Low,1940,2,2,6,0
Low,1900,2,1.5,6,2
Low,1950,2,1,5,0
Low,1929,3,1,5,0
Low,1925,3,1,8,0
Low,1960,3,1,9,0
Low,1963,3,1,8,0
Low,1950,3,1.5,6,0
Low,1900,3,2.5,6,2
Low,1963,3,2,7,1
Low,1920,2,2,5,0
Low,1963,3,1.5,6,0
Low,1900,3,2,6,0
Low,1960,3,1,8,0
Low,1965,3,2,7,0
Low,1918,3,2,6,0
Low,1951,2,1,5,0
Low,1920,3,1.5,5,0
Low,1950,3,1,5,0
Low,1960,3,1,6,0
High,2001,4,2,8,0
Low,1900,3,2,7,0
Low,1960,3,2,6,0
Low,1915,3,2,7,0
Low,1960,3,1.5,7,0
Low,1960,3,1,6,0
Low,1957,3,1.5,6,0
Low,1960,3,1,6,0
High,1960,6,1.5,8,2
Low,1950,3,1,6,0
Low,1910,3,2,8,1
Low,1950,3,1,7,2
Low,1920,3,1.5,6,0
Low,1960,3,2,8,0
Low,2001,4,2,7,0
Low,1960,4,2,8,0
Low,1957,3,1.5,5,0
Low,1950,3,1,5,0
Low,1960,3,1.5,6,0
Low,1900,2,1,3,0
Low,1924,3,2,6,0
Low,1910,2,2,6,0
Low,1909,3,2,5,0
Low,1957,3,1,6,0
Low,1990,3,2,6,0
Low,1960,3,2,8,0
High,2006,4,2,8,0
Low,1924,3,1.5,6,0
Low,1940,3,1.5,6,0
Low,1962,3,1.5,7,0
Low,1950,3,1,7,0
Low,1950,3,1,5,2
Low,1950,3,1,6,0
Low,1920,2,1.5,5,0
Low,1960,3,1.5,6,0
Low,1950,3,1,6,0
Low,1960,3,1,6,0
Low,1960,3,2,6,0
Low,1959,3,1,6,0
Low,1905,2,2,5,0
Low,1943,4,1.5,8,2
Low,1969,3,1,6,0
Low,1920,2,1.5,6,0
Low,1900,3,2,6,0
Low,1960,3,1,8,0
Low,1967,2,1,6,0
High,1950,4,2,9,2
Low,1950,3,2,7,2
Low,1959,3,1,8,0
Low,1950,3,1.5,6,0
Low,1960,3,1,8,0
High,2005,5,2,8,0
Low,1950,3,1,6,0
Low,1961,3,1.5,8,0
Low,1950,3,1,5,0
Low,1945,3,1,6,0
Low,1942,3,1,6,0
Low,1955,3,1,7,0
High,1992,3,2,7,0
Low,1960,3,1,7,0
Low,1950,3,1.5,6,0
Low,1960,3,1,6,2
Low,1950,3,1.5,7,0
Low,1920,3,1.5,5,0
Low,1910,3,2,7,1
Low,1960,3,1,5,0
Low,1950,3,1.5,6,0
Low,1940,3,1.5,7,0
Low,1950,3,1,6,0
Low,1965,3,2,9,0
Low,1955,3,2,6,0
Low,1955,3,1.5,7,0
High,2008,4,2,8,0
Low,1910,4,2,9,0
Low,1959,3,1,7,0
Low,1965,3,1,7,0
Low,1920,3,1,5,0
High,2005,5,2,8,0
Low,1965,3,2,7,0
Low,1960,3,1,8,0
Low,1950,3,1.5,7,2
Low,1950,3,1.5,6,0
Low,1960,3,1,7,0
Low,1960,3,1,8,2
Low,1964,3,2,6,0
Low,1910,1,1,5,0
Low,1960,3,1,7,0
Low,1930,4,2,5,2
Low,1940,3,1.5,9,2
Low,1900,4,2,9,2
Low,1920,3,1.5,6,0
Low,1955,3,2,6,0
Low,1960,2,1,7,0
Low,1959,2,1,5,0
Low,1960,3,2,6,0
High,1940,4,2,7,2
Low,1964,3,1,9,0
High,2005,5,2,8,0
Low,1965,3,2,7,0
Low,1900,3,2,6,2
Low,1910,2,1,4,0
Low,1965,3,1,8,2
Low,1942,4,1.5,7,0
Low,1960,3,2,7,0
Low,1960,2,1,5,0
Low,1960,3,1,7,0
Low,1957,3,1.5,6,2
Low,1955,4,1,5,0
Low,1960,3,1,7,0
Low,1963,3,2,6,0
Low,1959,3,1,7,0
Low,1960,4,1.5,7,0
Low,1960,3,1,8,0
Low,1961,2,1,7,0
Low,1942,4,2,8,0
Low,1900,3,2,7,0
Low,1960,3,1,9,1
High,1992,3,1,8,0
Low,1961,4,1.5,7,0
High,2005,6,2,8,0
Low,1961,2,1,8,0
Low,1943,3,1.5,6,2
Low,1955,3,1.5,7,0
Low,1960,3,1,7,0
Low,1960,3,2,7,0
Low,1967,3,1,8,0
Low,1960,3,1.5,6,1
Low,1925,4,2,7,2
Low,1920,3,1.5,6,0
Low,1990,3,2,8,0
Low,1950,2,1,5,0
Low,1920,3,2,7,0
Low,1943,3,2,7,2
Low,1960,3,1,6,2
Low,1965,3,1.5,6,0
Low,1988,3,1,8,0
Low,1920,3,2,7,2
Low,1950,3,2,7,0
Low,1920,2,2,6,0
Low,1920,3,2,6,0
Low,1962,3,1.5,7,2
Low,1957,4,1.5,7,0
Low,1960,3,1,7,0
Low,1967,3,1,7,0
Low,1957,3,1.5,7,0
Low,1960,3,1,8,0
Low,1950,3,1.5,6,0
High,1996,3,2,7,0
Low,1940,3,1.5,6,0
Low,1940,3,2,6,0
Low,1958,4,2,9,1
Low,1960,2,1,6,0
Low,1959,3,1,5,0
Low,1988,3,1,9,0
Low,1964,3,1,8,0
High,2003,3,2,6,0
Low,1960,3,1,8,2
Low,1960,3,1,7,0
Low,1962,3,1.5,7,0
Low,1954,3,1.5,7,0
Low,1963,3,1,6,0
High,1963,3,1.5,8,1
Low,1961,3,2,7,2
Low,1950,3,1.5,6,0
Low,1988,3,1.5,8,0
Low,1960,3,2,6,0
Low,1960,2,1,7,0
Low,1961,2,1,7,0
Low,1950,3,1,5,0
Low,1963,3,1,6,1
Low,1945,3,1.5,7,0
Low,1967,3,1,6,0
Low,1960,3,1,6,0
Low,1960,3,2,6,0
Low,1960,3,1,5,0
Low,1964,3,1.5,7,0
Low,1963,3,1.5,6,0
Low,1963,3,1,6,0
Low,1988,3,1.5,6,0
Low,1943,3,1,6,0
Low,1960,3,1.5,6,0
Low,1960,4,1.5,8,0
Low,1960,3,1,7,0
Low,1960,3,1.5,7,0
Low,1950,3,1,6,1
Low,1964,3,1,8,0
Low,1959,2,1,6,0
Low,1958,3,1,6,0
Low,1967,3,1,6,0
Low,1960,3,1,6,0
Low,1945,3,1,6,0
Low,1950,3,1,7,0
Low,1910,4,2,7,0
Low,1963,3,1,5,0
Low,1943,3,1.5,6,2
Low,1920,4,1.5,5,0
Low,1890,4,1.5,9,0
Low,1960,3,1,8,0
Low,1904,3,2,7,0
Low,1950,3,1.5,7,2
Low,1960,3,1,7,2
Low,1960,3,1.5,7,0
Low,1940,4,2,7,0
Low,1963,3,1,7,0
Low,1960,3,1,7,0
Low,1960,3,1.5,6,0
Low,1958,3,1,5,0
Low,1920,3,2,6,0
Low,1920,3,1.5,7,0
Low,1967,3,1,6,0
Low,1960,3,1,8,0
Low,1960,3,1.5,6,0
Low,1942,3,1,6,0
Low,1943,3,1,6,0
Low,1940,3,1,7,0
Low,1965,4,1,8,0
Low,1966,3,2,7,0
Low,1956,3,1,6,0
Low,1957,3,2,7,1
Low,1960,3,1,8,0
Low,1960,3,1,9,0
Low,1955,3,1,5,0
Low,1960,3,1.5,7,0
Low,1963,3,1,7,0
Low,1910,3,1.5,5,2
Low,1920,3,2,6,0
Low,1956,3,1.5,6,0
Low,1920,3,2,7,0
Low,1960,2,1,5,0
Low,1930,3,1.5,6,0
Low,1960,3,1,7,0
Low,1960,3,1,8,2
Low,1950,3,1,6,0
Low,1920,2,1.5,6,0
Low,1965,3,1.5,6,0
Low,1957,3,1,7,0
Low,1960,3,1,6,0
Low,1960,3,1,7,0
Low,1960,3,1,6,2
Low,1938,3,1,6,2
Low,1960,3,1,5,0
Low,1925,2,2,7,0
